,Champion,Result,Date,Game,player,Tournament,duration_minutes,K,D,A,match_result,match_type
399,Leona,Victory,2024-07-06,Top Esports vs G2 Esports,meiko,Esports World Cup 2024,28.9,1,3,5,Victory,BO3
400,Braum,Victory,2024-07-05,GEN vs Top Esports,meiko,Esports World Cup 2024,34.666666666666664,1,0,23,Victory,BO3
401,Leona,Victory,2024-07-05,GEN vs Top Esports,meiko,Esports World Cup 2024,34.266666666666666,2,3,5,Victory,BO3
402,Ashe,Victory,2024-06-26,Top Esports vs Rare Atom,meiko,LPL Summer Placements 2024,32.016666666666666,0,2,11,Victory,BO3
403,Leona,Victory,2024-06-26,Top Esports vs Rare Atom,meiko,LPL Summer Placements 2024,34.21666666666667,0,5,11,Victory,BO3
404,Leona,Victory,2024-06-23,Top Esports vs LNG Esports,meiko,LPL Summer Placements 2024,27.016666666666666,1,1,17,Victory,BO3
405,Alistar,Victory,2024-06-23,Top Esports vs LNG Esports,meiko,LPL Summer Placements 2024,26.083333333333332,0,1,10,Victory,BO3
406,Braum,Defeat,2024-06-23,Top Esports vs LNG Esports,meiko,LPL Summer Placements 2024,46.03333333333333,0,5,15,Victory,BO3
407,Ornn,Victory,2024-06-16,OMG vs Top Esports,meiko,LPL Summer Placements 2024,28.15,2,3,9,Victory,BO3
408,Leona,Victory,2024-06-16,OMG vs Top Esports,meiko,LPL Summer Placements 2024,26.433333333333334,1,1,7,Victory,BO3
409,Ornn,Victory,2024-06-12,Top Esports vs OMG,meiko,LPL Summer Placements 2024,24.683333333333334,1,3,7,Victory,BO3
410,Leona,Victory,2024-06-12,Top Esports vs OMG,meiko,LPL Summer Placements 2024,32.53333333333333,1,4,13,Victory,BO3
411,Alistar,Victory,2024-06-07,LNG Esports vs Top Esports,meiko,LPL Summer Placements 2024,32.81666666666667,2,3,3,Victory,BO3
412,Ornn,Victory,2024-06-07,LNG Esports vs Top Esports,meiko,LPL Summer Placements 2024,24.433333333333334,2,1,8,Victory,BO3
413,Leona,Victory,2024-06-02,Rare Atom vs Top Esports,meiko,LPL Summer Placements 2024,21.833333333333332,2,0,7,Victory,BO3
414,Ornn,Victory,2024-06-02,Rare Atom vs Top Esports,meiko,LPL Summer Placements 2024,29.033333333333335,1,1,14,Victory,BO3
415,Camille,Defeat,2024-05-14,Top Esports vs G2 Esports,meiko,MSI 2024,29.083333333333332,1,5,5,Defeat,BO5
416,Renata Glasc,Defeat,2024-05-14,Top Esports vs G2 Esports,meiko,MSI 2024,24.716666666666665,0,5,0,Defeat,BO5
417,Nautilus,Defeat,2024-05-14,Top Esports vs G2 Esports,meiko,MSI 2024,28.783333333333335,0,4,4,Defeat,BO5
418,Nami,Defeat,2024-05-11,GEN vs Top Esports,meiko,MSI 2024,33.85,1,4,6,Defeat,BO5
419,Ashe,Victory,2024-05-11,GEN vs Top Esports,meiko,MSI 2024,28.2,3,0,16,Defeat,BO5
420,Alistar,Victory,2024-05-11,GEN vs Top Esports,meiko,MSI 2024,28.05,0,3,16,Defeat,BO5
421,Nami,Defeat,2024-05-11,GEN vs Top Esports,meiko,MSI 2024,30.616666666666667,2,2,3,Defeat,BO5
